Kode Prov,Sektor,Tenaga Kerja,Persentase Tenaga Kerja Laki-laki,Persentase Tenaga Kerja Formal,Persentase Tenaga Kerja Penuh,Persentase Tenaga Kerja Pemuda,Persentase Tenaga Kerja Dewasa,Pendidikan Tenaga Kerja Pernah Bersekolah,Pendidikan Tenaga Kerja Sekunder,Pendidikan Tenaga Kerja Tersier,Rata-rata Jam Kerja per Minggu,Rata-rata Gaji per Bulan,PDRB ADHB,PDRB ADHB per Tenaga Kerja
11,Industri,869882,68.43962744372224,39.68929119121904,73.68585624257084,17.592271135625293,82.4077288643747,92.7233808723482,43.02089248886631,7.02267663890045,44.13238056826883,1310499.5106681136,68964000000000,79279718.39858739
11,Jasa,468032,46.720309722412146,89.58575482018324,65.40108368658554,10.35976172569397,89.64023827430603,98.2385819773007,30.20947285655682,56.623906057705454,37.97333231717275,2348377.2458977164,34115000000000,72890315.19212362
11,Pertanian,865803,64.12186143961155,15.467721872065585,48.37278226109173,12.395082946120537,87.60491705387946,84.62317640387016,23.100058558355656,2.67520440562114,32.41880142872231,668945.9986948533,43404000000000,50131496.425861314
12,Industri,3127830,60.89470975084963,44.51255343161233,79.65180332690716,19.318121509161305,80.6818784908387,93.22661397838118,47.95752966113887,7.712919180390239,46.857426560054215,1491096.0388787114,428614000000000,137032383.4735264
12,Jasa,1209804,42.854297059689,87.16899596959507,69.9563730984523,15.722298818651618,84.27770118134838,96.82510555428814,33.4439297605232,45.70459347133916,39.62895148617305,2290655.5595079865,109090000000000,90171631.10718761
12,Pertanian,2390797,61.23815614625583,19.45154691092552,51.98751713340781,15.660133419943223,84.33986658005678,80.9612024776675,27.074904310152643,2.0279429830303455,34.48729550532362,691303.2306410791,146366000000000,61220588.782736465
13,Industri,1148972,60.092064906716615,34.001785944305,75.27798762720066,16.52538094923114,83.47461905076887,86.65964009566812,39.82333773146778,7.759283951219002,45.068879608473615,1285532.6796997664,124074000000000,107986965.73980916
13,Jasa,425407,46.83984983791992,88.54344192737778,76.11205269306805,11.671646211745458,88.32835378825455,96.3051853871704,31.576114168314106,55.052220579351065,40.82976854052341,2827610.030070027,39971000000000,93959431.7912023
13,Pertanian,836071,64.57442011503808,10.509274929999963,51.27626720697166,10.045797545902202,89.9542024540978,67.15374651195891,16.58615117615609,1.8907485129851413,33.71517481282321,657734.1911368772,50542000000000,60451803.73437184
14,Industri,1238359,63.83964585390828,46.25661863805245,79.52306237528859,19.26711074898313,80.73288925101687,91.68665952280396,44.79452242847187,7.556532475639132,48.1168681459985,1699177.4354125096,507421000000000,409752745.3670543
14,Jasa,536414,49.37510952361423,88.11421774972317,69.5455375885044,13.303716905226187,86.69628309477382,96.73983154802075,34.44969743518998,47.303575223614594,40.28894960673129,2585478.7418486467,31485000000000,58695336.06505423
14,Pertanian,1140824,77.54412600015428,24.125807311206636,45.1578858789787,12.478699606600141,87.521300393399855,77.21787059178278,22.622332629748325,1.6887793384430902,32.166371424760754,1152541.1472093854,166772000000000,146185564.11856693
15,Industri,618819,65.32814926497086,47.95376353990424,80.79276815999509,19.462718500886368,80.53728149911363,90.68192799510034,39.00866004437485,7.0645859290034725,46.85146890599854,1570204.7965560204,106159000000000,171550970.47763562
15,Jasa,287494,48.16587476608207,89.54586878334852,71.58410262475043,14.162034685941272,85.83796531405872,97.27646490013704,33.36765289014727,53.4818117943331,39.48307813861288,2477501.8810305605,28741000000000,99970781.99892867
15,Pertanian,815049,66.92137527927768,25.20228845136918,48.26311056145091,11.891432294254702,88.1085677057453,77.42712401340287,17.056152452183856,1.6746232435105128,32.98305524347255,868359.7123191366,56199000000000,68951682.65957016
16,Industri,1549775,62.23774418867255,45.708893226436096,80.31411011275831,17.120872384701006,82.879127615299,88.14318207481732,38.86460937878079,6.751818812408253,46.8480390451402,1549537.5127763709,274044000000000,176828249.26198965
16,Jasa,569844,46.22089554334169,88.54809386428566,68.2653498150371,12.925467320880802,87.0745326791192,94.6932844778571,30.09700900597356,49.10782600150216,39.94838390355568,2330443.3633257523,48854000000000,85732235.48901103
16,Pertanian,1844251,65.69561301579883,17.52944691367932,47.00515276933563,11.418077040489608,88.5819229595104,76.88232241706797,16.466034178644883,1.2338342232158204,33.22802823076252,589243.7845179425,60862000000000,33000931.00125742
17,Industri,338435,63.018600322070704,35.109548362314776,77.98691033728781,16.622985211340435,83.37701478865957,89.54599849306366,40.49462969255544,7.329620163399175,46.809880416317164,1227824.964188101,25859000000000,76407581.9581308
17,Jasa,150323,51.52105798846483,92.56002075530691,71.71357676470002,12.130545558563892,87.8694544414361,97.81270996454302,31.493517292762917,55.853728305049785,39.95399258208793,2777780.7753969785,17087000000000,113668567.01901905
17,Pertanian,474705,62.445940110173694,10.264480045501942,52.825860271115744,11.09805036812336,88.90194963187665,75.82498604396415,17.83128469259856,1.6599783023140686,33.72780069579828,490876.31589092175,17730000000000,37349511.80206655
18,Industri,1777711,63.35855490571865,31.65340148089313,77.28241542072925,17.061715880702767,82.93828411929724,88.89977054763119,33.5918492938391,4.847244574624334,45.43514477432121,1273229.2686904676,173258000000000,97461285.88955122
18,Jasa,550948,49.297211352069525,84.35333280091768,67.973202552691,15.320865127017433,84.67913487298257,95.42043895249643,35.12581949657681,43.84842126661681,39.281885128419155,2391316.396282408,41427000000000,75192214.14725165
18,Pertanian,1731718,69.64523092096981,9.145311188080276,47.91744383323382,12.647498033744526,87.35250196625547,75.78341277274937,14.998111701789785,0.887095935943381,32.591429214601376,509648.7969940833,93767000000000,54146806.81265657
19,Industri,360175,67.75095439716804,51.89560630249185,79.28923439994448,18.058443812035815,81.94155618796418,84.32317623377524,36.10911362532103,4.277365169709169,45.95818660350792,1729476.806413549,45592000000000,126582911.0848893
19,Jasa,123866,52.01750278526796,91.22519496875657,74.93097379426155,15.911549577769527,84.08845042223047,96.20557699449405,42.55324302068364,38.383414334845725,41.81452466827702,3096265.8111103936,11235000000000,90702856.3124667
19,Pertanian,217325,67.13861727826988,23.760266881398824,67.46991832508915,10.726791671459795,89.2732083285402,64.82641205567698,12.44955711492005,1.3003566087656735,39.523129632086736,1078083.6568871506,13146000000000,60490049.465086855
21,Industri,613068,66.20130230251783,65.82695557425929,86.261882858019,14.48224340529925,85.51775659470076,93.38784604644182,51.69198196611142,13.696359947020559,47.13630410192296,3474199.771793667,199405000000000,325257557.0736036
21,Jasa,215336,53.197793216183086,87.08762120592934,80.24761303265593,10.167366348404354,89.83263365159564,94.92514024594124,40.57240777203997,40.01374595980236,44.00094100242507,3655488.264893004,22397000000000,104009547.86937623
21,Pertanian,72615,81.02871307581078,19.055291606417406,59.72732906424293,7.015079529022929,92.98492047097707,59.08007987330441,14.498381877022654,1.1609171658748192,38.47470743676859,1470974.1358534738,7941000000000,109357570.74984507
31,Industri,3108470,64.44073772627692,61.123478753213,88.81256695416073,12.728963123337206,87.27103687666279,95.80825936875698,46.73871711806773,18.402461661203102,49.73063240768072,3255190.3615508596,1440467e9,463400644.0467497
31,Jasa,1602547,55.882916382483636,86.86260059767358,83.9637776614352,9.777560346124012,90.222439653876,95.35601763942024,34.06389952993578,39.57537594841212,44.73195445825131,4276276.95560567,967844000000000,603941101.2594327
31,Pertanian,15762,99.47976145159244,51.25618576322801,85.82667174216469,7.721101383073215,92.27889861692678,72.82070803197563,1.8589011546758027,16.837964725288668,54.898870701687606,1663502.0936429386,2061000000000,130757518.08146174
32,Industri,13793434,68.03506653963038,50.619280158950986,85.75367091327657,16.173651898432254,83.82634810156775,92.24278740159993,35.34062656188444,6.896128984268891,48.345255232565066,2172154.721290507,1414376e9,102539802.63362989
32,Jasa,4116962,58.35331975374074,82.10993931933305,76.23293583958268,12.556078972795959,87.44392102720404,94.29202892812711,31.371603624225823,37.044524579046396,42.6061351921404,3075796.802222367,218022000000000,52957010.53349533
32,Pertanian,2869492,73.23383372387865,13.850639764808545,54.89689464197844,6.1686528486575325,93.83134715134247,72.90712084229543,6.757293625491899,0.9185249514548219,36.09076008407801,739803.4748276002,153693000000000,53561048.436447985
33,Industri,10548496,57.79648586869636,41.48656832215702,80.57126816941486,14.306371258992751,85.69362874100725,87.10967895328395,28.656729831437584,4.601433228016582,45.73627515926439,1262022.144985977,846378000000000,80236841.3468612
33,Jasa,2492803,52.27196051994481,80.70894491060866,77.66827141976322,11.50407793957244,88.49592206042756,93.50714837875276,30.394620032148552,39.26250891065198,42.71617645259814,2354250.06185567,173426000000000,69570680.07379645
33,Pertanian,4204249,61.421433411769854,8.282763461441032,50.818636098860935,5.796992518758999,94.203007481241,63.71130729887787,7.597789759835822,1.1545224842772157,33.975446173881906,403802.95435451134,167247000000000,39780469.71052381
34,Industri,1231292,57.028958200004546,46.35301780568704,78.8897353349165,12.603996452506797,87.39600354749321,89.6122934283663,44.65236515789918,11.146990315863336,44.911753857681255,1173381.2234693314,66972000000000,54391647.14787394
34,Jasa,455043,53.85754752847534,82.29156365442387,75.25640433980965,11.756471366442293,88.2435286335577,96.69701544689183,40.855479592038556,41.28203268702079,41.73035610302352,2247893.832927877,40269000000000,88494933.44585018
34,Pertanian,432057,51.442518001097085,4.74567013148728,46.30291836493796,2.7917612722395426,97.20823872776046,69.72899409105743,15.80323892449376,2.9952066509742927,31.62771886350681,203649.7537454549,11933000000000,27619041.006163538
35,Industri,10681858,60.23053292788577,44.38182009159829,82.36985550641096,13.61262244826696,86.38737755173304,88.25569484260136,34.406336425741664,6.214518110987807,47.46585747433303,1470861.5800484335,151868e10,142173767.8969333
35,Jasa,3124548,52.28644271107373,79.46179735436934,74.24027411324774,11.273950664224074,88.72604933577593,93.32572263252158,31.367769034113095,40.68342044993388,42.22234876078493,2360411.0122680143,242091000000000,77480326.75446177
35,Pertanian,6643543,60.32154830637809,8.485683015824538,47.64826539092168,7.350204551998836,92.64979544800116,64.12492551037903,8.989254679317948,1.0744718593678102,33.41092270085102,390191.4269744322,258428000000000,38899123.55500672
36,Industri,3487638,67.25319542911276,57.41536248888216,87.90860748735963,14.011373886854084,85.98862611314591,91.26202318015804,39.09155709394152,8.545927071559605,47.767131830659594,2703198.221773303,420339000000000,120522542.76389924
36,Jasa,1140801,57.64519841760307,83.11361929030568,80.39316234820973,11.839049930706583,88.16095006929342,94.47125309322134,30.060720493758332,41.02661200332047,42.8118849091507,3812403.101024631,110958000000000,97263238.72436999
36,Pertanian,704057,65.97903294761646,12.020759682809773,53.1827678724876,6.493792406012582,93.50620759398741,64.23712852794588,4.100378236421199,1.199050645047205,34.89641797021722,724370.074002531,33134000000000,47061530.52948838
51,Industri,1441089,52.54547082102493,51.06943429586931,81.68086773266606,14.923783333298637,85.07621666670136,86.43262144114624,41.60867233043899,11.187858626358262,47.5859502951684,1652221.7625497107,135258000000000,93858186.41319169
51,Jasa,548546,55.188443630980814,88.46167869239771,82.14552653742804,13.362051678437178,86.63794832156282,96.11974200887437,38.51600412727465,46.4599140272648,43.72824139591609,3093024.710202973,49201000000000,89693480.58321454
51,Pertanian,501235,56.735064390954335,6.6571568226480595,55.76107015671292,6.864045806857064,93.13595419314294,62.492044649715204,13.24249104711363,2.370345247239319,36.93698084198175,510924.2678344489,30902000000000,61651720.25098008
52,Industri,1079872,53.80572882712025,26.642231671901857,69.5621332898714,18.929095300183725,81.07090469981628,75.91473804302731,30.23386105019854,4.730931073312393,41.64570510887021,1017572.682490147,70633000000000,65408678.06554851
52,Jasa,352969,55.69610929005096,83.17897605738747,60.48151537387136,12.743328734251449,87.25667126574855,90.47820063518326,25.913890454969135,50.746099515821506,36.45633137080979,2281272.9013652755,26065000000000,73845011.88489641
52,Pertanian,721283,61.13522708839665,3.679831633353344,44.62547987405775,13.326946566049664,86.67305343395034,59.84793763335612,15.846484666906054,1.7119494012752277,31.438301201320446,320439.5809813901,27230000000000,37752172.17097866
53,Industri,720697,56.437171238398385,27.424840120050455,68.71653413292965,18.61059502120864,81.38940497879136,79.86227221703435,27.68833504232708,4.4054574946197915,42.1470405539826,819531.4914214989,34122000000000,47345833.26973749
53,Jasa,371064,53.23017053661901,93.93150507729125,73.1908781234504,12.35177759092771,87.64822240907229,97.78151477912166,35.21629691912985,54.8956514240131,40.175459157330536,2292303.306011901,30853000000000,83147381.58376992
53,Pertanian,1319772,57.175481825648674,2.387457833625808,39.5249330945042,18.426137241887236,81.57386275811277,65.1535265182168,12.321749514310048,0.944481319500641,29.98797473648988,167191.31825875986,26184000000000,19839790.50926978
61,Industri,817190,67.08403186529448,53.56355315165384,82.45010340312534,20.0649787687074,79.9350212312926,82.89149402219802,33.80609160660312,5.629412988411508,47.95943451218188,1695152.659968918,105360000000000,128929624.6894847
61,Jasa,334146,54.528858642629274,88.23717776061962,66.938404170632,10.234747685143619,89.76525231485638,94.13220568254596,34.48342939912493,46.86574132265537,38.852539255476,2749008.391649159,36091000000000,108009672.41864334
61,Pertanian,1195545,60.74426307667215,18.26096048245779,51.81252064957823,13.382181348255399,86.6178186517446,66.72789397304159,12.612992400955214,1.3050951658030436,34.24957583101755,681674.668658227,36018000000000,30126845.91546115
62,Industri,562959,67.31520412676589,46.45382701049277,81.21497302645486,17.193792087878514,82.8062079121215,86.81502560577236,32.96492284518055,5.130569011242382,48.180269626356186,1707257.5544773242,75917000000000,134853515.08724436
62,Jasa,238906,55.7725632675613,92.01066528257977,67.54581299758064,12.486500966907487,87.51349903309251,96.75772060977957,35.30551765129382,50.884866851397625,39.38060509324311,2985804.014164567,24137000000000,101031367.98573497
62,Pertanian,499137,67.5996770425755,30.270246445364702,56.583863748830474,12.96898446719037,87.03101553280963,77.15396774833361,16.046696598328715,1.6111808982303455,35.1927073815278,1231716.7517735611,26121000000000,52332325.5939752
63,Industri,981165,63.06543751560645,42.899818073412725,75.4714038923117,15.26358971222985,84.73641028777016,85.09618667604327,31.657060739019432,5.073866271218399,45.20053684724256,1692370.9273547262,104170000000000,106169706.42042878
63,Jasa,357306,51.57456074065367,83.85921311145069,64.82118968055393,14.05126138379988,85.94873861620012,94.90548717345916,31.73162499370288,47.4165001427348,38.22386118738057,2558056.003537584,32133000000000,89931319.37331027
63,Pertanian,683195,61.96473920330213,15.011380352607967,52.16900006586699,11.575172534927802,88.4248274650722,70.92967600758202,11.768967864226171,1.0398202562957866,34.379577053925246,657509.0081250594,23292000000000,34092755.36267098
64,Industri,883700,68.02195315152201,58.448794839877785,84.76417336200069,15.008939685413603,84.99106031458639,92.02670589566596,47.55290256874505,9.629964920221795,50.89496567798037,2869868.8220368903,501451000000000,567444834.2197578
64,Jasa,386684,56.69280342605332,89.28479068179702,74.728460448324725,12.09204414974501,87.907955850255,96.25792636881795,35.86571981256013,46.98384210362983,40.923273423002534,3389952.1379550225,43905000000000,113542323.96478778
64,Pertanian,347901,77.50480740210577,30.981514856237837,67.50368639354299,11.332821693527755,88.66717830647224,80.12193123905938,18.279625525652413,2.566822170674991,39.346011552415504,1538673.2449231248,47146000000000,135515563.3355466
65,Industri,148494,65.0551537435856,56.307325548507016,80.91572723477043,15.923202284267376,84.07679771573262,90.70332808059585,46.78101472113351,8.052177192344471,48.00594214448499,2208348.4652578556,55814000000000,375867038.3988579
65,Jasa,89713,59.10514641133392,93.9852641200272,66.21113996856643,11.839978598419403,88.1600214015806,97.53770356581543,43.4106539743404,42.02289523257499,39.339247836773175,3196631.5441463334,8957000000000,99840602.81118679
65,Pertanian,85193,74.3558743089221,22.397380066437382,52.037139201577595,11.392954820231708,88.60704517976829,70.5562663599122,16.4837486647964,2.9638585329780613,34.489876353324284,1247369.8015095138,12635000000000,148310307.1848626
71,Industri,578885,65.00807586999144,40.11003912694231,78.11136927023502,13.318534769427433,86.68146523057257,88.18314518427667,41.32340620330463,6.198813235789491,46.27013679479727,1959388.5518142637,60637000000000,104747920.57144338
71,Jasa,246376,49.11720297431568,89.18969380134428,77.42961976815924,9.265918758320616,90.73408124167938,96.60924765399227,37.900201318310224,47.370685456375625,41.47735702897333,3201548.7958242684,25823000000000,104811345.26090203
71,Pertanian,269884,81.37459056483526,13.801855612040729,58.271701916378895,7.951193846245054,92.04880615375495,74.87031465370308,17.98179958797113,1.5925360525262704,36.813879814631925,1056793.218023299,23704000000000,87830327.10349631
72,Industri,520152,60.32428982297482,32.35438871714422,71.93012811639674,18.8164228917701,81.1835771082299,89.58112244113259,32.34804441778557,5.282878850797459,43.8440326981985,1184922.1623064028,73022000000000,140385887.20220244
72,Jasa,292316,49.39209622463361,92.08938272280682,69.46284158239713,11.538540483586255,88.46145951641374,97.63919867540606,33.66562213494985,51.05741731550788,39.58068875693238,2319019.9773943266,22404000000000,76643084.8807455
72,Pertanian,639023,69.61580412598607,7.3044319218557074,51.36982549923869,12.794531652225348,87.20546834777466,76.60193764543686,15.208216292684302,1.318418898850276,34.5037966717717,451441.90572796285,38818000000000,60745857.34785759
73,Industri,1670106,60.10648425908296,40.8077690877106,77.09181333400394,19.046695239703347,80.95330476029665,83.87030523811063,34.10705667783961,8.833690795674046,46.18691374578828,1561637.5834893114,235534000000000,141029371.7883775
73,Jasa,678317,49.05184449158727,90.73368351375537,72.88553876727252,13.24203875179304,86.75796124820695,97.55748418512289,28.22588848576698,59.588068705339836,41.265262583376554,2953797.1540223816,87501000000000,128997209.26941238
73,Pertanian,1426501,68.00724289713081,6.965505106550925,45.192397341466986,14.133393527239027,85.86660647276098,64.84502990183674,16.045905330595634,1.65299568664866,32.241631611246284,525463.8683632188,95895000000000,67223927.63832623
74,Industri,523922,58.05711537213555,34.728261077030545,73.08263443795069,19.67334832284195,80.32665167715805,86.95053843892792,37.373502162535644,8.212863746893621,45.611369882430765,1110157.865892251,64362000000000,122846530.5904314
74,Jasa,255907,51.80749256565862,93.86300491975601,68.38929767454583,12.88046047978367,87.11953952021634,97.99458396995784,27.3439179076774,65.6492397628826,38.97697680019266,2810479.1915031634,17226000000000,67313516.23832095
74,Pertanian,427659,67.48601105086061,5.776798804655111,48.767592871890926,14.788184043829315,85.21181595617068,70.9656525409263,17.999621193521005,1.6316738335917167,32.78866390673467,381902.54504406545,25877000000000,60508489.24025918
75,Industri,265744,64.31866758986092,32.52942681678608,77.50015052080198,16.25022578120296,83.74977421879704,75.27996869167319,26.42054006863749,3.1857727737973387,48.637447089896234,1213790.2435426577,13602000000000,51184598.711541936
75,Jasa,122647,38.84563014178904,90.7392761339454,72.04008251322902,14.943700212805858,85.05629978719415,91.34018769313559,30.265721949986546,47.21680921669507,39.94870205026455,2258225.996559231,7815000000000,63719455.02132136
75,Pertanian,167142,76.03714207081403,10.44261765444951,61.848009476971676,11.743906379007072,88.25609362099293,53.516171877804496,6.992258079955965,0.32248028622369007,38.84631945679709,601113.1043962619,13130000000000,78555958.4066243
76,Industri,206281,54.417033076240664,26.003849118435536,70.90134331324747,20.2631362074064,79.7368637925936,80.38840222802875,24.931040667826895,4.107019066225197,44.42831825807319,876978.4517236197,14519000000000,70384572.50061809
76,Jasa,89834,47.43972215419552,92.51174388316228,58.205133913662976,11.18952735044638,88.81047264955362,98.29908497896119,35.37747400761405,54.60293430104415,35.573782831335606,2018556.4269652916,8643000000000,96210788.78820936
76,Pertanian,323280,68.74072011878248,6.607275426874535,38.096696362286565,15.446362286562731,84.55363771343727,69.13666171739669,15.689185845087849,1.713375402128186,28.862173089718,429589.3485214056,16455000000000,50900148.47809948
81,Industri,294009,61.72157995163413,30.970820621137445,76.73778693849508,15.243410915992367,84.75658908400763,91.64107221207513,44.35748565520103,8.007237873670533,46.351254391782255,1399725.0713413535,15665000000000,53280681.88388791
81,Jasa,148491,48.35781293142345,93.1396515613741,78.08823430376252,10.175700884228673,89.82429911577132,99.21880787387788,35.330087345361,56.63710258534187,41.3106387391124,2728099.896842233,14723000000000,99150790.2835862
81,Pertanian,257643,68.55493842254593,8.455110365893892,57.965867498825894,13.8517250614222,86.1482749385778,83.48800471970905,24.21567828351634,2.1723858206898696,37.07469480986082,510606.0294671309,9492000000000,36841676.27298238
82,Industri,171727,64.71201383591398,33.611488001304394,78.68884916175092,17.590710837550297,82.40928916244971,88.51083405638019,41.358668118583566,6.562159706976771,48.412372055869184,1639317.7007692442,16203000000000,94353246.72299638
82,Jasa,108088,51.0454444526682,95.38431648286581,70.83302494263933,10.889275405225373,89.11072459477462,98.5187994967064,31.670490711272297,59.2729997779587,38.96844534676601,2567688.060182444,8341000000000,77168603.360225
82,Pertanian,235800,67.75530110262935,4.491094147582697,62.06149279050043,15.230279898218829,84.769720101781175,80.32909245122985,18.512298558100085,2.574215436810857,38.04299829522178,445752.9892154368,7728000000000,32773536.8956743
91,Industri,165410,65.8847711746569,44.62608064808657,82.05610301674626,13.767003204159362,86.23299679584063,87.78489813191463,42.366241460613026,8.148237712351127,49.929814721451976,2085490.7124720393,51555000000000,311680067.71053743
91,Jasa,111687,63.50246671501607,95.5464825807838,76.36161773527806,10.63507838871131,89.3649216112887,98.2415142317369,36.04448145263101,52.76710807882744,41.462668161434976,3199730.2821545927,12384000000000,110881302.21064225
91,Pertanian,140447,60.457681545351626,8.702215070453622,54.2838223671563,12.849687070567544,87.15031292943246,62.69126432034861,16.737274559086345,2.140309155766944,36.2055871246838,637495.6142459433,7850000000000,55892970.30196444
94,Industri,318913,67.64007738787694,41.60382298620627,82.37387626092382,14.091303897928276,85.90869610207173,91.47855371214094,45.689263215986806,8.382850495276141,48.37665686597582,2793768.8993549966,133714000000000,419280493.4261068
94,Jasa,254178,67.33824327833251,96.17787534719763,77.01846737325812,8.479097325496305,91.5209026745037,97.78304967385061,39.28939562039201,50.51066575392048,40.24594881235868,4005764.0430643093,35625000000000,140157684.77208886
94,Pertanian,1204116,53.518680924429205,1.6941058834863088,48.0246919731986,17.09037999661162,82.90962000338838,42.782838198313115,10.408963920419627,0.6691215796484724,31.94369269229801,224309.49890292963,22277000000000,18500709.233994067
