Kode Prov,Sektor,Lapangan Usaha,Kode Lapangan Usaha,Nama Lapangan Usaha,PDRB ADHB
51,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,4633000000000
51,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,3347000000000
52,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",27230000000000
52,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,24109000000000
52,Industri,3,C,Industri Pengolahan/Manufacturing,4910000000000
52,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,91000000000
52,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",106000000000
52,Industri,6,F,Konstruksi/Construction,10988000000000
52,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,16381000000000
52,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,8918000000000
52,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,2827000000000
52,Industri,10,J,Informasi dan Komunikasi/Information and Communication,2303000000000
52,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,4257000000000
52,Jasa,12,L,Real Estat/Real Estate Activities,3834000000000
52,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,211000000000
52,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",7438000000000
52,Jasa,15,P,Jasa Pendidikan/Education,5681000000000
52,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2184000000000
52,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,2460000000000
53,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",26184000000000
53,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,1186000000000
53,Industri,3,C,Industri Pengolahan/Manufacturing,1147000000000
53,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,66000000000
53,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",50000000000
53,Industri,6,F,Konstruksi/Construction,9787000000000
53,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,10072000000000
53,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,4943000000000
53,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,676000000000
53,Industri,10,J,Informasi dan Komunikasi/Information and Communication,6195000000000
53,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,3726000000000
53,Jasa,12,L,Real Estat/Real Estate Activities,2348000000000
53,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,279000000000
53,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",11697000000000
53,Jasa,15,P,Jasa Pendidikan/Education,8917000000000
53,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,1941000000000
53,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1945000000000
61,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",36018000000000
61,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,9583000000000
61,Industri,3,C,Industri Pengolahan/Manufacturing,28769000000000
61,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,181000000000
61,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",205000000000
61,Industri,6,F,Konstruksi/Construction,22713000000000
61,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,25085000000000
61,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,8106000000000
61,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,4103000000000
61,Industri,10,J,Informasi dan Komunikasi/Information and Communication,6615000000000
61,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,6547000000000
61,Jasa,12,L,Real Estat/Real Estate Activities,5108000000000
61,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,783000000000
61,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",12312000000000
61,Jasa,15,P,Jasa Pendidikan/Education,7123000000000
61,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2480000000000
61,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1738000000000
62,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",26121000000000
62,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,14433000000000
62,Industri,3,C,Industri Pengolahan/Manufacturing,21038000000000
62,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,98000000000
62,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",115000000000
62,Industri,6,F,Konstruksi/Construction,12344000000000
62,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,15419000000000
62,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,8854000000000
62,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,2408000000000
62,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1208000000000
62,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,4134000000000
62,Jasa,12,L,Real Estat/Real Estate Activities,2679000000000
62,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,48000000000
62,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",7820000000000
62,Jasa,15,P,Jasa Pendidikan/Education,5777000000000
62,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2386000000000
62,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1293000000000
63,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",23292000000000
63,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,33118000000000
63,Industri,3,C,Industri Pengolahan/Manufacturing,22959000000000
63,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,207000000000
63,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",645000000000
63,Industri,6,F,Konstruksi/Construction,12777000000000
63,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,15446000000000
63,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,10339000000000
63,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,3144000000000
63,Industri,10,J,Informasi dan Komunikasi/Information and Communication,5535000000000
63,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,5739000000000
63,Jasa,12,L,Real Estat/Real Estate Activities,3525000000000
63,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,1053000000000
63,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",9486000000000
63,Jasa,15,P,Jasa Pendidikan/Education,7310000000000
63,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,3079000000000
63,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1941000000000
64,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",47146000000000
64,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,274362000000000
64,Industri,3,C,Industri Pengolahan/Manufacturing,112989000000000
64,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,280000000000
64,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",275000000000
64,Industri,6,F,Konstruksi/Construction,47802000000000
64,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,31376000000000
64,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,21437000000000
64,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,5490000000000
64,Industri,10,J,Informasi dan Komunikasi/Information and Communication,7440000000000
64,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,9052000000000
64,Jasa,12,L,Real Estat/Real Estate Activities,5218000000000
64,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,1215000000000
64,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",12052000000000
64,Jasa,15,P,Jasa Pendidikan/Education,9182000000000
64,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,3506000000000
64,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,3680000000000
65,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",12635000000000
65,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,21195000000000
65,Industri,3,C,Industri Pengolahan/Manufacturing,7728000000000
65,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,41000000000
65,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",49000000000
65,Industri,6,F,Konstruksi/Construction,9641000000000
65,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,8793000000000
65,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,5411000000000
65,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,1203000000000
65,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1753000000000
65,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,884000000000
65,Jasa,12,L,Real Estat/Real Estate Activities,609000000000
65,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,191000000000
65,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",4044000000000
65,Jasa,15,P,Jasa Pendidikan/Education,1922000000000
65,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,796000000000
65,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,511000000000
71,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",23704000000000
71,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,5329000000000
71,Industri,3,C,Industri Pengolahan/Manufacturing,10311000000000
71,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,105000000000
71,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",135000000000
71,Industri,6,F,Konstruksi/Construction,12647000000000
71,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,13367000000000
71,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,11975000000000
71,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,2446000000000
71,Industri,10,J,Informasi dan Komunikasi/Information and Communication,4322000000000
71,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,4421000000000
71,Jasa,12,L,Real Estat/Real Estate Activities,3799000000000
71,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,102000000000
71,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8925000000000
71,Jasa,15,P,Jasa Pendidikan/Education,3021000000000
71,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,3835000000000
71,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1720000000000
72,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",38818000000000
72,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,17229000000000
72,Industri,3,C,Industri Pengolahan/Manufacturing,16571000000000
72,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,44000000000
72,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",177000000000
72,Industri,6,F,Konstruksi/Construction,16785000000000
72,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,11999000000000
72,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,5207000000000
72,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,719000000000
72,Industri,10,J,Informasi dan Komunikasi/Information and Communication,4291000000000
72,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,3161000000000
72,Jasa,12,L,Real Estat/Real Estate Activities,2456000000000
72,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,335000000000
72,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8291000000000
72,Jasa,15,P,Jasa Pendidikan/Education,5165000000000
72,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,1819000000000
72,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1177000000000
73,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",95895000000000
73,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,22475000000000
73,Industri,3,C,Industri Pengolahan/Manufacturing,57449000000000
73,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,269000000000
73,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",431000000000
73,Industri,6,F,Konstruksi/Construction,53386000000000
73,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,58381000000000
73,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,17514000000000
73,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,5696000000000
73,Industri,10,J,Informasi dan Komunikasi/Information and Communication,19933000000000
73,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,15797000000000
73,Jasa,12,L,Real Estat/Real Estate Activities,16151000000000
73,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,1845000000000
73,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",18195000000000
73,Jasa,15,P,Jasa Pendidikan/Education,21756000000000
73,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,8189000000000
73,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,5568000000000
74,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",25877000000000
74,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,22227000000000
74,Industri,3,C,Industri Pengolahan/Manufacturing,6592000000000
74,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,45000000000
74,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",195000000000
74,Industri,6,F,Konstruksi/Construction,14346000000000
74,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,13482000000000
74,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,4850000000000
74,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,641000000000
74,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1984000000000
74,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,2630000000000
74,Jasa,12,L,Real Estat/Real Estate Activities,1602000000000
74,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,219000000000
74,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5532000000000
74,Jasa,15,P,Jasa Pendidikan/Education,4875000000000
74,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,972000000000
74,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1396000000000
75,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",13130000000000
75,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,400000000000
75,Industri,3,C,Industri Pengolahan/Manufacturing,1413000000000
75,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,16000000000
75,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",20000000000
75,Industri,6,F,Konstruksi/Construction,3979000000000
75,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,3943000000000
75,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,2093000000000
75,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,816000000000
75,Industri,10,J,Informasi dan Komunikasi/Information and Communication,922000000000
75,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,1493000000000
75,Jasa,12,L,Real Estat/Real Estate Activities,662000000000
75,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,33000000000
75,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",2427000000000
75,Jasa,15,P,Jasa Pendidikan/Education,1443000000000
75,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,1217000000000
75,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,540000000000
76,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",16455000000000
76,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,896000000000
76,Industri,3,C,Industri Pengolahan/Manufacturing,3992000000000
76,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,15000000000
76,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",58000000000
76,Industri,6,F,Konstruksi/Construction,3236000000000
76,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,4106000000000
76,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,556000000000
76,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,91000000000
76,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1569000000000
76,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,880000000000
76,Jasa,12,L,Real Estat/Real Estate Activities,1056000000000
76,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,27000000000
76,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",3189000000000
76,Jasa,15,P,Jasa Pendidikan/Education,1994000000000
76,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,781000000000
76,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,716000000000
81,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",9492000000000
81,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,913000000000
81,Industri,3,C,Industri Pengolahan/Manufacturing,2125000000000
81,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,38000000000
81,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",170000000000
81,Industri,6,F,Konstruksi/Construction,3009000000000
81,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,5422000000000
81,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,2080000000000
81,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,684000000000
81,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1224000000000
81,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,1500000000000
81,Jasa,12,L,Real Estat/Real Estate Activities,123000000000
81,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,397000000000
81,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",8873000000000
81,Jasa,15,P,Jasa Pendidikan/Education,2302000000000
81,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,862000000000
81,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,666000000000
82,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",7728000000000
82,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,2963000000000
82,Industri,3,C,Industri Pengolahan/Manufacturing,2076000000000
82,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,32000000000
82,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",26000000000
82,Industri,6,F,Konstruksi/Construction,2138000000000
82,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,5621000000000
82,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,2019000000000
82,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,149000000000
82,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1179000000000
82,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,1011000000000
82,Jasa,12,L,Real Estat/Real Estate Activities,37000000000
82,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,102000000000
82,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",5103000000000
82,Jasa,15,P,Jasa Pendidikan/Education,1178000000000
82,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,663000000000
82,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,247000000000
91,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",7850000000000
91,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,12893000000000
91,Industri,3,C,Industri Pengolahan/Manufacturing,18619000000000
91,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,31000000000
91,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",76000000000
91,Industri,6,F,Konstruksi/Construction,11226000000000
91,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,4945000000000
91,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,2125000000000
91,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,463000000000
91,Industri,10,J,Informasi dan Komunikasi/Information and Communication,1177000000000
91,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,1128000000000
91,Jasa,12,L,Real Estat/Real Estate Activities,918000000000
91,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,84000000000
91,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",7713000000000
91,Jasa,15,P,Jasa Pendidikan/Education,1755000000000
91,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,575000000000
91,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,211000000000
94,Pertanian,1,A,"Pertanian, Kehutanan, dan Perikanan/Agriculture, Forestry and Fishing",22277000000000
94,Industri,2,B,Pertambangan dan Penggalian/Mining and Quarrying,69119000000000
94,Industri,3,C,Industri Pengolahan/Manufacturing,3972000000000
94,Industri,4,D,Pengadaan Listrik dan Gas/Electricity and Gas,69000000000
94,Industri,5,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang/Water supply, Sewerage, Waste",100000000000
94,Industri,6,F,Konstruksi/Construction,24756000000000
94,Industri,7,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor/Wholesale and Retail Trade;,17130000000000
94,Industri,8,H,Transportasi dan Pergudangan/Transportation and Storage,10004000000000
94,Industri,9,I,Penyediaan Akomodasi dan Makan Minum/Accommodation and Food Service Activities,1518000000000
94,Industri,10,J,Informasi dan Komunikasi/Information and Communication,7046000000000
94,Jasa,11,K,Jasa Keuangan dan Asuransi/Financial and Insurance Activities,2915000000000
94,Jasa,12,L,Real Estat/Real Estate Activities,4978000000000
94,Jasa,13,"M,N",Jasa Perusahaan/Business Activities,2155000000000
94,Jasa,14,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib/Public Administration and",17191000000000
94,Jasa,15,P,Jasa Pendidikan/Education,3498000000000
94,Jasa,16,Q,Jasa Kesehatan dan Kegiatan Sosial/Human Health and Social Work Activities,2948000000000
94,Jasa,17,"R,S,T,U",Jasa lainnya/Other Services Activities,1940000000000
